,ID,Name,Reviews,Rating,Price
71,N9Ft5eK2Gwqol0paEytXyw,AMC Mountainside 10,109,3.0,
72,R3RfZqUHBtN5ft7gtk7znA,Center Cinemas,7,4.5,
73,P0x0dBY4EJNgcYahkLaRwQ,Metrograph,106,4.0,
74,Ry3HT59z3JWh3ySrDwnUCw,The Landmark at 57 West,83,4.0,
75,6FnPl8AjYTSLrr4F31b9nQ,Queens Theatre,58,4.5,$$
76,bYQrMNddKGnbEBUxapoqXA,Linden Boulevard Multiplex Cinemas,118,2.5,
77,Z1ApOmmkmosEtg52cFy_Wg,Herricks Cinema,26,4.0,
78,uHK9_TnAdSrLwNTwrkXk3Q,AMC Orpheum 7,200,2.0,
79,MHE2ZY4RIJi7B5nKIcxKtg,Regal,6,4.5,
80,QnBr_hsLNuuCV2dbHjrQKw,Red Bank 2,17,4.0,
81,a-KPaJivClJcisSPsMcw4Q,Soundview Cinemas,17,3.5,
82,v9O1ycUyvpCS_LFgxim7lQ,AMC Wayne 14,125,2.5,
83,cIU1d-FL4uSzZjGSOwYACA,North Shore Towers Cinema,4,5.0,
84,14MihK4uzuXthDx0lkUSWw,Cinema Village,90,3.5,
85,ypefAPsMUxyuJY5pB5B8dw,Regal Bricktown Charleston,21,4.0,
86,Sz410eVUvGqgUgIwpS_M_g,Atlantic Theatre,17,4.0,
87,Bi1djv1DV5L4nc2-JiRAcA,Bombay Theatre,22,4.0,
88,LPVq0MLZpOQ3HVXdgJZSMA,Loews Theatres,4,3.0,
89,MJIwDtOXEXm0T1gp7-akug,St George Theatre,42,3.5,
90,9VWVKQG0ahbQJSQv8bes7w,College Point Multiplex Cinemas,266,3.0,
91,cFnxcIozHpVVsPmVNPb-UA,Main Street Cinemas,74,2.5,
92,IR9qJI_r4w_pUxa1ajMd-g,Film Forum,210,4.0,
93,n0x0UELu6h0HGUBPXhvmug,Cinemark Willowbrook Mall and XD,5,5.0,
94,2cyYosncDDuaPf1SU0MTZg,Bronxville Cinemas,24,3.5,
95,4kw5uINv3rAj33oCr-l5vA,Pelham Picture House,15,4.5,
96,FhvgboVhnCjkJLMPiXd0Dw,New Vision Theatres Cranford Theatre,32,3.5,
97,diMrUFWe9tECV5DPcEyDwA,Bergenfield Cinemas,22,3.0,
98,5hxooPbgIMt0lo5lFiw-nw,Roxy Hotel Cinema,12,4.5,
99,hymsspyU4Nw-wOxnQU1KTQ,Franklin Square Cinemas,27,3.0,
100,OPL90jsXEt6XpbxI796A3g,AMC Empire 25,968,2.5,
101,Xe2WZp_nTF_zrrWUt1vsAA,Manhasset Theater,17,3.5,
102,rmAIRAq6HYheKwgk7sE6Fg,Quad Cinema,102,3.5,
103,tEO18SgDoJxqvH_8PP4FXg,Merrick Cinema,50,3.0,
104,5c8ZWnV-Nv8JZLKIn0AD4w,The Secret Theatre,32,3.5,
105,N98GkR3TlyyvJqPl_R4Ecg,Caldwell Cinemas,15,3.5,
106,YTMCwlmMkVPYRsaNiRLtFA,Museum of the Moving Image,557,4.5,
107,UyDUNIJz5fiZZlMLDmnc8g,BAM Harvey Theatre,70,3.5,
108,iyfxpE6t0Y_U2rHcbv4sfg,Wayne Movietown,17,3.0,
109,_rguqaSDu8U-NKnJijDU4A,Grand Av Cinema,24,2.0,
110,q_r7hLlMT1huld9jnGv7-g,SVA Theatre,24,4.0,
111,EHp2nfYS4mcp32Arr_k9Ng,Allwood Cinemas 6,93,2.0,
112,_TAoNLgBW3EUxkGM3g0d8Q,Cinemark Theatre Willowbrook,8,4.0,
113,pswyezihkt-OFvem9cFdVw,Cinemark Hazlet 12,55,4.0,
114,uBBtEoB4VsJVCRE4t0hA7g,William Carlos Williams Center for the Performing Arts,16,4.5,
115,NN-GhiltJV8XHMFoXGj6Nw,Hawthorne Theatres,40,3.5,
116,-8sjBJh54X1_NxtvuS_BKw,Millburn Cinemas,18,3.0,
117,p2N8k-vhSV3T8gwf7abOlw,Bow Tie Cinemas,19,2.5,
118,tGwu8hlEwvOqprfeVGV6-Q,Maplewood Theater,39,2.5,
119,x4aNxdzO4uWkEy7sRATPgg,Mile Square Theatre,6,5.0,
120,13IeoVQrSD0MLrzOIv-Gfg,Jamaica Multiplex Cinemas,90,3.5,
121,Hr5QasYo2DCjl75HhCqyrw,Showcase Cinema de Lux Broadway,128,4.0,
122,pDzphbU9gB8xdswnOP4A1w,Union Theatres,62,1.5,
123,I4ao8WtKmks0R9AU_ZFCvA,Roslyn Theater,20,3.5,
124,FKemLHKbrPaKW1fCZJ9w1A,Coney Island Circus Sideshow,99,4.0,
125,sulipN61P85ISTkV-bMeFA,Medieval Times Dinner & Tournament,727,4.0,$$$
126,jYBFEtBlWEfmzYXina6KVg,New Jersey Performing Arts Center,124,4.5,
127,uRgzNG_eXXwJk9lcH2sc-Q,Bellmore Movies,16,3.5,
128,6c3Rpt4wAl0cfmvfp0sYzQ,Cranford Theater,1,4.0,
129,smt833-yuOODNHtbbWzZng,OVO: Cirque du Soleil,13,4.5,
130,PgLt1VveRzC9QZzlgYpkZQ,CMX CinéBistro - New York,157,3.5,
131,mwZvC4kXYcFh8-dMF5D-mA,Sunshine Laundromat & Pinball,115,4.5,$$
132,LVeMQ0eqlfFN3JmHAXHx1A,8K Cinemas - Movie City,33,2.0,
133,d4pZh6IUoaOBsUjMx4B6aA,AMC Garden State 16,293,3.0,
134,XjKaW-3w7v0fGQJzIZg0cQ,House of Yes,296,4.0,$
135,4pysNF-sKTabDgt2I18hZA,Tenafly Cinemas,11,2.5,
136,4rgCc3gA7FEl8uE6MzDuCg,Film at Lincoln Center - Walter Reade Theater,83,4.0,
137,BPrpZ4bfwq_ohGK8nCFjpg,BAMCafe,86,4.0,$$
138,VQL3YFypk6nqenymbOzJpA,Columbia Park 12,15,1.5,
139,60gn3T1ilPX9Q_MvF9YAbg,Magnet Theater,136,4.5,$
140,hHeaaPgJUzfN-NPR-r-kjw,Then She Fell,160,4.5,
141,ncCZMudBn-qKovV5B9Ixow,UA Gemini,7,3.0,
142,ppOa7qaDPw8MysvtE7cfLg,Bow Tie Larchmont Playhouse,2,2.5,
143,Jmo_UpRZZLHFUaIsf0-F6Q,Hudson Theatre,39,4.0,
144,wVpO2GG32N4B7rG1uhv_oQ,Brooklyn Players,4,5.0,
145,bLvZlWuYfIBQc3RfMMs2Fw,AMC Dine-In Staten Island 11,22,1.5,
146,0SSFpHLFBBmk6_XYywqgaA,Iron Mule,1,5.0,
147,kH-HPShLrGaP1zFOYC34mw,Theater For the New City,21,3.5,
148,roTOzX8oCPJvrRETC7Pu3Q,"Rooftop Cinema Club, NYC",36,4.5,
149,0xyJkg_fveS0JdP68TH2qQ,Sleep No More,1280,4.0,
150,4m9Y9fgQaWVgTNld-7FRHw,Coney Island Museum,28,4.0,
151,r5X4-movdt5wbvbF-Jz7-w,Liberty Science Center,320,4.0,
152,yvFrZnyMK_zcvumU0Oq3ag,The Secret Science Club,15,4.5,
153,WKD3M9JSOdFJMX4drpxmDA,Barrow Street Theatre,47,4.5,
154,D2RH9vmWio34vIJkTt3Ftw,Bank Street Theater,2,3.0,
155,lOM1pMH45TEFjpHCZbDWwA,Anthology Film Archives,50,4.0,
156,ZgqX7bC_KHOy4ZzTafFuFA,Moulin Rouge! The Musical,40,4.5,
